candidate,county,district,election_date,office,party,scope,state,votes
Timothy H. Bishop,Suffolk,1,2014-11-04,U.S. House,DEM,general,NY,68387
Lee M. Zeldin,Suffolk,1,2014-11-04,U.S. House,REP,general,NY,77062
Lee M. Zeldin,Suffolk,1,2014-11-04,U.S. House,CON,general,NY,16973
Timothy H. Bishop,Suffolk,1,2014-11-04,U.S. House,WOR,general,NY,5457
Timothy H. Bishop,Suffolk,1,2014-11-04,U.S. House,IND,general,NY,4878
Blank,Suffolk,1,2014-11-04,U.S. House,,general,NY,3796
Void,Suffolk,1,2014-11-04,U.S. House,,general,NY,58
Scattering,Suffolk,1,2014-11-04,U.S. House,,general,NY,108
Total,Suffolk,1,2014-11-04,U.S. House,,general,NY,176719
Patricia Maher,Nassau,2,2014-11-04,U.S. House,DEM,general,NY,9291
Patricia Maher,Suffolk,2,2014-11-04,U.S. House,DEM,general,NY,32523
Patricia Maher,Total,2,2014-11-04,U.S. House,DEM,general,NY,41814
Peter T. King,Nassau,2,2014-11-04,U.S. House,REP + TRP,general,NY,30249
Peter T. King,Suffolk,2,2014-11-04,U.S. House,REP + TRP,general,NY,46410
Peter T. King,Total,2,2014-11-04,U.S. House,REP + TRP,general,NY,76659
Peter T. King,Nassau,2,2014-11-04,U.S. House,CON,general,NY,4597
Peter T. King,Suffolk,2,2014-11-04,U.S. House,CON,general,NY,9192
Peter T. King,Total,2,2014-11-04,U.S. House,CON,general,NY,13789
Peter T. King,Nassau,2,2014-11-04,U.S. House,IND,general,NY,1359
Peter T. King,Suffolk,2,2014-11-04,U.S. House,IND,general,NY,3370
Peter T. King,Total,2,2014-11-04,U.S. House,IND,general,NY,4729
William D. Stevenson,Nassau,2,2014-11-04,U.S. House,GRE,general,NY,627
William D. Stevenson,Suffolk,2,2014-11-04,U.S. House,GRE,general,NY,1654
William D. Stevenson,Total,2,2014-11-04,U.S. House,GRE,general,NY,2281
Blank,Nassau,2,2014-11-04,U.S. House,,general,NY,1306
Blank,Suffolk,2,2014-11-04,U.S. House,,general,NY,5841
Blank,Total,2,2014-11-04,U.S. House,,general,NY,7147
Void,Nassau,2,2014-11-04,U.S. House,,general,NY,66
